word,count
urgent,450
immediately,380
important,320
alert,290
attention,270
final,250
notice,240
suspended,350
warning,310
deadline,280
limited,260
critical,340
expires,300
invoice,420
payment,400
salary,180
refund,380
bank,200
wire,290
transfer,280
credit,170
card,160
loan,140
billing,250
transaction,230
overdue,340
statement,200
deposit,190
bitcoin,320
crypto,300
wallet,280
password,480
login,420
verify,450
update,280
credentials,390
reset,350
unlock,380
account,300
authentication,340
secure,250
otp,280
pin,240
signin,300
access,220
lottery,480
bonus,350
gift,320
prize,450
free,380
exclusive,340
offer,320
claim,400
winner,460
jackpot,490
promotion,280
voucher,300
discount,250
reward,320
cashback,290
congratulations,420
selected,350
lucky,380
terminate,340
suspend,380
deactivate,360
disabled,320
blocked,350
unauthorized,380
illegal,300
violation,280
click,380
confirm,350
download,280
install,260
submit,240
enter,220
provide,260
